MJ文字図形名,部首1,内画数1
MJ文字図形名,部首2,内画数2
MJ文字図形名,部首3,内画数3
MJ文字図形名,部首4,内画数4
MJ000690,38,11
MJ000691,38,11
MJ000692,38,11
MJ000693,38,11
MJ000694,38,11
MJ000695,38,11
MJ000696,38,11
MJ000697,38,12
MJ000698,38,12
MJ000699,38,12
MJ000700,38,12
MJ000701,38,12
MJ000702,38,13
MJ000703,38,13
MJ000704,38,13
MJ000705,38,14
MJ000706,38,14
MJ000709,38,15
MJ000710,38,15
MJ000711,38,16
MJ000712,38,16
MJ000713,38,16
MJ000714,38,16
MJ000715,38,16
MJ000716,38,17
MJ000717,38,17
MJ000718,38,17
MJ000719,38,18
MJ000720,38,19
MJ000721,38,23
MJ000722,38,23
MJ000723,39,3
MJ000724,39,4
MJ000725,39,5
MJ000726,39,6
MJ000727,39,7
MJ000728,39,7
MJ000729,39,9
MJ000730,39,10
MJ000731,39,13
MJ000732,39,22
MJ000733,40,2
MJ000734,40,2
MJ000735,40,3
MJ000736,40,3
MJ000737,40,4
MJ000738,40,4
MJ000739,40,4
MJ000740,40,4
MJ000741,40,5
MJ000742,40,6
MJ000743,40,6
MJ000744,40,6
MJ000745,40,6
MJ000746,40,7
MJ000747,40,7
MJ000748,40,7
MJ000749,40,7
MJ000750,40,8
MJ000751,40,8
MJ000752,40,8
MJ000753,40,8
MJ000754,40,8
MJ000755,40,8
MJ000756,40,8
MJ000757,40,9
MJ000758,40,9
MJ000760,40,10
MJ000761,40,10
MJ000762,40,10
MJ000763,40,10
MJ000764,40,11
MJ000765,40,11
MJ000766,40,12
MJ000768,40,11
MJ000769,40,12
MJ000770,40,12
MJ000771,40,12
MJ000772,40,15
MJ000773,40,18
MJ000774,40,23
MJ000775,41,4
MJ000776,41,5
MJ000777,41,7
MJ000778,42,7
MJ000779,42,11
MJ000780,42,12
MJ000781,43,3
MJ000782,43,4
MJ000783,43,5
MJ000784,43,5
MJ000785,43,6
MJ000786,43,6
MJ000787,43,7
MJ000788,43,8
MJ000789,43,8
MJ000790,43,8
MJ000791,43,8
MJ000792,43,9
MJ000793,43,9
MJ000794,43,10
MJ000795,43,11
MJ000796,44,2
MJ000797,44,3
MJ000798,44,3
MJ000799,44,5
MJ000800,44,5
MJ000801,44,5
MJ000802,44,6
MJ000803,44,6
MJ000804,44,6
MJ000805,44,6
MJ000806,44,7
MJ000807,44,8
MJ000808,44,8
MJ000809,44,9
MJ000810,44,9
MJ000811,44,11
MJ000812,44,12
MJ000813,44,16
MJ000814,45,1
MJ000815,45,4
MJ000816,46,2
MJ000818,46,2
MJ000819,46,2
MJ000820,46,2
MJ000821,46,3
MJ000822,46,3
MJ000823,46,3
MJ000824,46,4
MJ000825,46,3
MJ000826,46,3
MJ000827,17,4
MJ000827,46,3
MJ000828,46,3
MJ000829,46,4
MJ000830,46,4
MJ000831,46,4
MJ000832,46,4
MJ000833,46,4
MJ000834,46,4
MJ000835,45,4
MJ000836,46,4
MJ000837,46,5
MJ000838,46,5
MJ000839,46,5
MJ000840,46,5
MJ000841,46,5
MJ000842,46,5
MJ000843,46,5
MJ000844,46,5
MJ000845,46,5
MJ000847,46,5
MJ000848,46,6
MJ000849,46,6
MJ000850,46,7
MJ000851,46,7
MJ000852,46,7
MJ000853,46,7
MJ000854,46,7
MJ000855,46,7
MJ000856,46,7
MJ000857,46,7
MJ000858,46,7
MJ000859,46,7
MJ000860,46,7
MJ000861,46,7
MJ000862,46,7
MJ000863,46,7
MJ000864,46,7
MJ000865,46,8
MJ000866,46,8
MJ000867,46,8
MJ000868,46,8
MJ000869,46,8
MJ000870,46,8
MJ000871,46,8
